staion lat: 33.451
staion lon: 132.688
staion H: 190.000
dt: 0.01
duration: 77.000
EQ lat: 32.742
EQ lon: 130.808
EQ depth: 11.000
mag: 6.5
pgamax UD EW NS: 1.163,3.918,3.883
UD EW NS: 
 16.2046  -7.5027   9.2360
 16.1874  -7.5113   9.2170
 16.1683  -7.5161   9.2074
 16.1492  -7.5161   9.2007
 16.1302  -7.5075   9.2007
 16.1168  -7.4970   9.2112
 16.1073  -7.4961   9.2294
 16.0996  -7.5066   9.2504
 16.1015  -7.5285   9.2618
 16.1139  -7.5552   9.2561
 16.1292  -7.5771   9.2408
 16.1435  -7.5876   9.2294
 16.1607  -7.5810   9.2227
 16.1769  -7.5590   9.2246
 16.1931  -7.5361   9.2322
 16.2093  -7.5247   9.2399
 16.2265  -7.5180   9.2437
 16.2389  -7.5085   9.2360
 16.2494  -7.4961   9.2227
 16.2618  -7.4770   9.2217
 16.2685  -7.4598   9.2265
 16.2675  -7.4455   9.2399
 16.2675  -7.4302   9.2580
 16.2589  -7.4236   9.2694
 16.2313  -7.4264   9.2799
 16.1874  -7.4255   9.2961
 16.1407  -7.4264   9.3114
 16.1025  -7.4369   9.3286
 16.0834  -7.4550   9.3477
 16.0891  -7.4827   9.3553
 16.1187  -7.5256   9.3448
 16.1578  -7.5705   9.3181
 16.1950  -7.6019   9.2809
 16.2122  -7.6239   9.2380
 16.2093  -7.6287   9.1969
 16.2046  -7.6096   9.1626
 16.1979  -7.5695   9.1368
 16.1903  -7.5247   9.1311
 16.1931  -7.4865   9.1435
 16.2065  -7.4636   9.1540
 16.2208  -7.4522   9.1626
 16.2389  -7.4474   9.1779
 16.2589  -7.4436   9.2046
 16.2752  -7.4350   9.2341
 16.2780  -7.4341   9.2599
 16.2637  -7.4398   9.2914
 16.2313  -7.4484   9.3314
 16.1903  -7.4512   9.3667
 16.1492  -7.4417   9.3963
 16.1216  -7.4274   9.4182
 16.1139  -7.4236   9.4364
 16.1206  -7.4350   9.4440
 16.1435  -7.4636   9.4249
 16.1798  -7.5027   9.3705
 16.2093  -7.5380   9.3000
 16.2275  -7.5581   9.2322
 16.2303  -7.5590   9.1712
 16.2208  -7.5409   9.1263
 16.2122  -7.5151   9.1054
 16.2017  -7.4894   9.1015
 16.1950  -7.4732   9.1073
 16.1864  -7.4732   9.1178
 16.1712  -7.4884   9.1292
 16.1540  -7.5027   9.1473
 16.1407  -7.5075   9.1750
 16.1464  -7.5066   9.2103
 16.1655  -7.5142   9.2513
 16.2008  -7.5256   9.2981
 16.2427  -7.5266   9.3324
 16.2713  -7.5161   9.3496
 16.2809  -7.5027   9.3620
 16.2723  -7.4789   9.3772
 16.2475  -7.4445   9.3934
 16.2208  -7.4007   9.4020
 16.2008  -7.3596   9.4020
 16.1864  -7.3377   9.3925
 16.1864  -7.3310   9.3696
 16.1950  -7.3387   9.3324
 16.2055  -7.3596   9.2914
 16.2170  -7.3873   9.2504
 16.2141  -7.4188   9.2103
 16.2017  -7.4493   9.1779
 16.1922  -7.4789   9.1531
 16.1903  -7.4980   9.1407
 16.1874  -7.5104   9.1387
 16.1960  -7.5142   9.1492
 16.2198  -7.5161   9.1750
 16.2475  -7.5323   9.2036
 16.2809  -7.5552   9.2284
 16.3229  -7.5562   9.2475
 16.3601  -7.5342   9.2484
 16.3725  -7.5066   9.2437
 16.3563  -7.4703   9.2580
 16.3086  -7.4236   9.2952
 16.2389  -7.3663   9.3353
 16.1569  -7.3129   9.3772
 16.0796  -7.2900   9.4211
 16.0176  -7.2976   9.4545
 15.9690  -7.3234   9.4640
 15.9375  -7.3711   9.4564
 15.9432  -7.4379   9.4392
 15.9814  -7.5123   9.4030
 16.0319  -7.5924   9.3410
 16.0853  -7.6554   9.2656
 16.1388  -7.6811   9.1855
 16.1798  -7.6802   9.1054
 16.1950  -7.6649   9.0386
 16.1950  -7.6411   8.9947
 16.2017  -7.6115   8.9842
 16.2151  -7.5838   9.0023
 16.2208  -7.5590   9.0262
 16.2237  -7.5466   9.0538
 16.2208  -7.5438   9.0910
 16.2065  -7.5438   9.1330
 16.1845  -7.5361   9.1769
 16.1578  -7.5161   9.2303
 16.1244  -7.4884   9.2952
 16.0863  -7.4560   9.3610
 16.0443  -7.4293   9.4211
 16.0147  -7.4121   9.4736
 16.0128  -7.4016   9.5060
 16.0395  -7.4073   9.5098
 16.0911  -7.4379   9.4793
 16.1550  -7.4846   9.4125
 16.2179  -7.5418   9.3171
 16.2647  -7.6019   9.2074
 16.2809  -7.6401   9.1015
 16.2589  -7.6401   9.0185
 16.2151  -7.6134   8.9785
 16.1731  -7.5657   8.9804
 16.1426  -7.5104   9.0100
 16.1349  -7.4646   9.0529
 16.1550  -7.4455   9.1082
 16.1922  -7.4560   9.1645
 16.2179  -7.4961   9.2027
 16.2093  -7.5409   9.2217
 16.1702  -7.5676   9.2542
 16.0977  -7.5771   9.3038
 16.0042  -7.5733   9.3648
 15.9222  -7.5628   9.4287
 15.8821  -7.5590   9.4841
 15.8898  -7.5657   9.5136
 15.9356  -7.5810   9.5089
 16.0147  -7.6105   9.4640
 16.1139  -7.6477   9.3839
 16.2198  -7.6687   9.2780
 16.3057  -7.6516   9.1492
 16.3448  -7.6058   9.0224
 16.3267  -7.5333   8.9289
 16.2589  -7.4484   8.8879
 16.1616  -7.3825   8.8926
 16.0558  -7.3596   8.9384
 15.9709  -7.3797   9.0052
 15.9270  -7.4484   9.0777
 15.9337  -7.5485   9.1559
 15.9823  -7.6573   9.2265
 16.0539  -7.7536   9.2732
 16.1321  -7.8233   9.3019
 16.1979  -7.8538   9.3238
 16.2532  -7.8357   9.3372
 16.2942  -7.7613   9.3467
 16.3162  -7.6449   9.3524
 16.3276  -7.5190   9.3629
 16.3505  -7.4112   9.3772
 16.3782  -7.3387   9.3877
 16.4097  -7.2967   9.3810
 16.4440  -7.2767   9.3553
 16.4421  -7.2681   9.3057
 16.3820  -7.2681   9.2399
 16.2828  -7.2757   9.1807
 16.1760  -7.2910   9.1473
 16.0920  -7.3100   9.1473
 16.0424  -7.3406   9.1712
 16.0205  -7.3787   9.2217
 16.0224  -7.4350   9.2818
 16.0500  -7.5209   9.3248
 16.0949  -7.6182   9.3314
 16.1492  -7.7107   9.2981
 16.2008  -7.7784   9.2446
 16.2389  -7.8080   9.2027
 16.2561  -7.7956   9.1693
 16.2475  -7.7469   9.1435
 16.2141  -7.6649   9.1435
 16.1683  -7.5638   9.1664
 16.1292  -7.4569   9.2151
 16.1054  -7.3616   9.2847
 16.0920  -7.2891   9.3467
 16.0796  -7.2471   9.3763
 16.0691  -7.2356   9.3801
 16.0539  -7.2633   9.3686
 16.0281  -7.3301   9.3467
 16.0042  -7.3959   9.3209
 15.9880  -7.4445   9.2837
 15.9737  -7.4961   9.2551
 15.9766  -7.5552   9.2599
 16.0033  -7.6248   9.2704
 16.0424  -7.7202   9.2580
 16.1073  -7.8166   9.2284
 16.1836  -7.8853   9.1702
 16.2389  -7.9244   9.0968
 16.2675  -7.9234   9.0348
 16.2780  -7.8681   8.9871
 16.2723  -7.7803   8.9651
 16.2685  -7.6687   8.9747
 16.2713  -7.5342   9.0023
 16.2752  -7.4016   9.0519
 16.2799  -7.2891   9.1368
 16.2895  -7.2051   9.2551
 16.2971  -7.1813   9.3791
 16.3028  -7.2166   9.4783
 16.3238  -7.2728   9.5394
 16.3458  -7.3272   9.5632
 16.3429  -7.3635   9.5575
 16.3229  -7.3778   9.5413
 16.2942  -7.3940   9.5213
 16.2637  -7.4178   9.4984
 16.2561  -7.4274   9.4640
 16.2647  -7.4264   9.4049
 16.2723  -7.4341   9.3286
 16.2828  -7.4445   9.2446
 16.2914  -7.4550   9.1540
 16.2647  -7.4732   9.0682
 16.2065  -7.4903   9.0233
 16.1435  -7.5046   9.0243
 16.0729  -7.5218   9.0491
 16.0042  -7.5294   9.0872
 15.9594  -7.5304   9.1368
 15.9441  -7.5552   9.1883
 15.9670  -7.6058   9.2437
 16.0319  -7.6754   9.2837
 16.1216  -7.7527   9.2961
 16.1922  -7.7946   9.2914
 16.2008  -7.7832   9.2780
 16.1330  -7.7374   9.2780
 16.0224  -7.6802   9.3038
 15.9136  -7.6182   9.3400
 15.8411  -7.5590   9.3696
 15.8306  -7.5085   9.3925
 15.9117  -7.4884   9.4030
 16.0615  -7.5161   9.3801
 16.2179  -7.5810   9.3066
 16.3419  -7.6372   9.1950
 16.4087  -7.6630   9.0758
 16.4068  -7.6506   8.9833
 16.3458  -7.5895   8.9317
 16.2780  -7.4980   8.9279
 16.2465  -7.4121   8.9785
 16.2370  -7.3701   9.0596
 16.2179  -7.3921   9.1473
